              bucket               | label  |              norm               |         example_surface         |    suggested_canonical    | freq |                                                                                                                                                   sample_refs                                                                                                                                                    
-----------------------------------+--------+---------------------------------+---------------------------------+---------------------------+------+------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
! (Should be NORP)  likely_missing_canonical_entity   | LOC    | paranimmitavasavatti devas      | Paranimmitavasavatti devas      |                           |    5 | an08.043.khan.html:27, mn.097.than.html:48, mn.097.than.html:49, mn.097.than.html:50
 ! (should be NORP) likely_missing_canonical_entity   | PERSON | awakened ones                   | Awakened Ones                   |                           |    2 | ud.5.06.than.html:12, ud.5.06.than.html:9
!(should be NORP)  likely_missing_canonical_entity   | PERSON | private buddhas                 | Private Buddhas                 |                           |    2 | an09.020.than.html:12, an09.020.than.html:18
! (should be NORP) likely_noise_or_bad_ner           | PERSON | tathagatas                      | Tathagatas                      |                           |    9 | dn.16.1-6.vaji.html:2, dn.16.5-6.than.html:55, dn.16.5-6.than.html:56, mn.082.than.html:17, mn.087.than.html:16, ud.6.10.than.html:3, ud.6.10.than.html:4
!  (Should be LOC, added to gold) likely_missing_canonical_entity   | GPE    | neranjara                       | Nerañjara                       |                           |    4 | snp.3.02.irel.html:1, snp.3.02.than.html:1, ud.1.01.irel.html:3, ud.2.01.irel.html:2
! (Noise, I added to gold)  likely_missing_canonical_entity   | PERSON | saccaka the nigantha-son went   | Saccaka the Nigaṇṭha-son went   |                           |    2 | mn.035.than.html:5, mn.035.than.html:8
! (noise, updated gold) likely_missing_canonical_entity   | GPE    | night                           | night                           |                           |    1 | an08.043.khan.html:14
 ! (this is noise, I added correction to gold)  likely_missing_canonical_entity   | PERSON | health                          | Health                          |                           |    2 | dhp.15.budd.html:1, dhp.15.budd.html:204
 ! (this is noise, I added to gold)  likely_missing_canonical_entity   | PERSON | mindful                         | Mindful                         |                           |    2 | mn.010.soma.html:8, sn06.013.olen.html:1
(don't care, this is noise)  likely_missing_canonical_entity   | GPE    | india                           | India                           |                           |    2 | sn56.036.than.html:1
!  likely_missing_alias_for_existing | LOC    | bahuka?                         | Bahuka?                         | Bahuka                    |    1 | mn.007.nypo.html:12
! likely_missing_canonical_entity   | LOC    | beautifully lustrous devas.     | Beautifully Lustrous Devas.     |                           |    1 | dn.15.0.than.html:95
 ! likely_missing_canonical_entity   | LOC    | brahma-                         | Brahma-                         |                           |    2 | iti.4.100-112.than.html:112, iti.4.106-112x.irel.html:112
! likely_missing_canonical_entity   | LOC    | calika mountain.                | Cālikā Mountain.                |                           |    1 | ud.4.01.than.html:2
! likely_missing_canonical_entity   | LOC    | gotama-                         | Gotama-                         |                           |    1 | dn.16.1-6.vaji.html:32
! likely_missing_canonical_entity   | LOC    | matika.                         | Matika.                         |                           |    1 | an06.051.than.html:7
!  likely_missing_canonical_entity   | PERSON | one-with-                       | One-with-                       |                           |    2 | dn.20.0.than.html:6, dn.20.0.than.html:91
! likely_noise_or_bad_ner           | LOC    | mango grove of                  | Mango Grove of                  |                           |    1 | dn.16.1-6.vaji.html:14
! likely_noise_or_bad_ner           | LOC    | mango grove.                    | Mango Grove.                    |                           |    1 | ud.2.10.than.html:2
! likely_noise_or_bad_ner           | LOC    | mango stone.                    | Mango Stone.                    |                           |    1 | mn.061.than.html:2
! likely_noise_or_bad_ner           | LOC    | tathagata does                  | Tathagata does                  |                           |    1 | iti.4.106-112x.irel.html:117
 ! likely_noise_or_bad_ner           | PERSON | one                             | One                             |                           |    2 | thag.21.00.irel.html:12, thag.21.00.irel.html:1252
 (! label creep) likely_missing_canonical_entity   | PERSON | suppavasa's                     | Suppavāsā's                     |                           |    2 | ud.2.08.than.html:7, ud.2.08.than.html:8
! (noise, but from a comment section, so who cares)  likely_missing_canonical_entity   | LOC    | khuddaka nikaya                 | Khuddaka Nikaya                 |                           |    1 | khp.1-9.than.html:1
 ! (should be PERSON) likely_missing_canonical_entity   | LOC    | pindola                         | Pindola                         |                           |    1 | mn.116.piya.html:17
 ! (error, I updated this)likely_missing_canonical_entity   | LOC    | saavatthii a                    | Saavatthii a                    |                           |    2 | sn22.063.wlsh.html:1, sn35.120.wlsh.html:1
! ( oddballs, ignore ) likely_missing_canonical_entity   | PERSON | brahman                         | Brahman                         |                           |    3 | mn.107.horn.html:2, sn46.055.wlsh.html:11, sn46.055.wlsh.html:3
 (! should be NORP )likely_missing_canonical_entity   | PERSON | rightly self-awakened ones      | Rightly Self-awakened Ones      |                           |    3 | sn12.065.than.html:7
 ! ( label creep) likely_missing_canonical_entity   | PERSON | saccaka responded               | Saccaka responded               |                           |    2 | mn.036.than.html:12, mn.036.than.html:68
 likely_noise_or_bad_ner           | PERSON | elder                           | Elder                           |                           |    2 | sn21.010.than.html:5, sn21.010.than.html:7
