verse_id,identifier,verse_num,label,surface,norm,suggested_canonical,bucket
16425,an02.038.than.html,1,LOC,Gunda Forest,gunda forest,,likely_missing_canonical_entity
16425,an02.038.than.html,1,PERSON,Master Kaccana,kaccana,,likely_missing_canonical_entity
16425,an02.038.than.html,1,PERSON,Kaccana,kaccana,,likely_missing_canonical_entity
16425,an02.038.than.html,1,PERSON,Master Kaccana,kaccana,,likely_missing_canonical_entity
16425,an02.038.than.html,1,PERSON,Kandarayana,kandarayana,,likely_missing_canonical_entity
16428,an02.038.than.html,4,PERSON,Kandarayana,kandarayana,,likely_missing_canonical_entity
16429,an02.038.than.html,5,PERSON,Master Kaccana,kaccana,,likely_missing_canonical_entity
16429,an02.038.than.html,5,PERSON,Master Kaccana,kaccana,,likely_missing_canonical_entity
16429,an02.038.than.html,5,PERSON,Master Kaccana,kaccana,,likely_missing_canonical_entity
16445,an03.015.than.html,3,PERSON,Pacetana,pacetana,,likely_missing_canonical_entity
16485,an03.034.than.html,4,PERSON,Verambha,verambha,,likely_missing_canonical_entity
16509,an03.040.than.html,1,PERSON,Tathagatas,tathagatas,,likely_noise_or_bad_ner
16534,an03.057.than.html,3,PERSON,Vacchagotta,vacchagotta,,likely_missing_canonical_entity
16535,an03.057.than.html,4,PERSON,Vaccha,vaccha,,likely_missing_canonical_entity
16536,an03.057.than.html,5,PERSON,Vaccha,vaccha,,likely_missing_canonical_entity
16537,an03.057.than.html,6,PERSON,Vaccha,vaccha,,likely_missing_canonical_entity
16540,an03.060.than.html,1,PERSON,Sangarava,sangarava,,likely_missing_canonical_entity
16543,an03.060.than.html,4,PERSON,Sangarava,sangarava,,likely_missing_canonical_entity
16544,an03.060.than.html,5,PERSON,Sangarava,sangarava,,likely_missing_canonical_entity
16546,an03.060.than.html,7,PERSON,Sangarava,sangarava,,likely_missing_canonical_entity
16548,an03.060.than.html,9,PERSON,Sangarava,sangarava,,likely_missing_canonical_entity
16549,an03.060.than.html,10,PERSON,Sangarava,sangarava,,likely_missing_canonical_entity
16550,an03.060.than.html,11,PERSON,Sangarava,sangarava,,likely_missing_canonical_entity
16553,an03.060.than.html,14,LOC,Brahma worlds,brahma worlds,,likely_missing_canonical_entity
16562,an03.060.than.html,23,LOC,Brahma worlds,brahma worlds,,likely_missing_canonical_entity
16565,an03.060.than.html,26,LOC,Brahma worlds,brahma worlds,,likely_missing_canonical_entity
16566,an03.060.than.html,27,LOC,Brahma worlds,brahma worlds,,likely_missing_canonical_entity
16611,an03.065.soma.html,1,LOC,Kosala country,kosala country,,likely_missing_canonical_entity
16611,an03.065.soma.html,1,LOC,Kosala country,kosala country,,likely_missing_canonical_entity
16611,an03.065.soma.html,1,PERSON,Kalama,kalama,,likely_missing_canonical_entity
16611,an03.065.soma.html,1,PERSON,Reverend Gotama,reverend gotama,,likely_missing_canonical_entity
16679,an03.065.than.html,40,PERSON,Skillful,skillful,,likely_missing_canonical_entity
16704,an03.066.nymo.html,1,LOC,Eastern Monastery,eastern monastery,,likely_missing_canonical_entity
