9	PERSON	arahant	! PERSON | arahant                    | Arahant                    |   31, Note: should be NORP
30	PERSON	tathagatas	! PERSON | tathagatas                 | Tathagatas                 |   19,  Note, should be a NORP
38	PERSON	noble one	! PERSON | noble one                  | Noble One                  |   17, should be NORP
79	GPE	curry	! GPE    | curry                      | curry                      |   10, WTH!?
93	NORP	celestial	!  NORP   | celestial                  | celestial                  |    9
94	PERSON	bodhisatta	! PERSON | bodhisatta                 | Bodhisatta                 |    9
98	PERSON	private buddha	! PERSON | private buddha             | Private Buddha             |    9 -- should be NORP
99	PERSON	seeing one	! PERSON | seeing one                 | Seeing One                 |    9 -- less common, skip marking this
125	GPE	sunidha	! GPE    | sunidha                    | Sunīdha                    |    7, Note should be PERSON
141	PERSON	perfect one	! PERSON | perfect one                | Perfect One                |    7 -- less common epithet, skip
150	GPE	ananda	! GPE    | ananda                     | Ananda                     |    6 -- should be PERSON
200	PERSON	kalama	! PERSON | kalama                     | Kalama                     |    5 -- should be NORP
204	PERSON	nalaka	! PERSON | nalaka                     | Nalaka                     |    5 -- should be GPE
208	PERSON	sage	! PERSON | sage                       | Sage                       |    5 -- too vague, skip
225	GPE	nagita	! GPE    | nagita                     | Nagita                     |    4, should be PERSON
227	GPE	tathagatas	! GPE    | tathagatas                 | Tathāgatas                 |    4  Should be NORP
243	PERSON	bhante	! PERSON | bhante                     | Bhante                     |    4 -- too vague
245	PERSON	deity	! PERSON | deity                      | Deity                      |    4 -- should be NORP
282	PERSON	wanderer	! PERSON | wanderer                   | Wanderer                   |    4 -- Nah, too vague
284	GPE	cala	! GPE    | cala                       | Cala                       |    3, Should be PERSON, Bhikkhuni Cala
